inning,is_top_inning,score_diff,is_runner_on_first,is_runner_on_second,is_runner_on_third,outs,home_win_prob,weighted_avg_li,freq
2,1,10,0,1,0,0,0.982990542625329,0.154722135966532,0
2,1,10,0,1,0,1,0.986939553872777,0.102246687734627,0
2,1,10,0,1,0,2,0.989516461663526,0.0677802605331996,0
2,1,10,0,1,1,0,0.974429329380179,0.264683613549016,0
2,1,10,0,1,1,1,0.981349554247169,0.198686738067947,0
2,1,10,0,1,1,2,0.987311399035213,0.15225111734662,1
2,1,10,1,0,0,0,0.984072053623549,0.157626230922082,1
2,1,10,1,0,0,1,0.987548546437394,0.100681931836932,0
2,1,10,1,0,0,2,0.989870035463335,0.0552966537679517,0
2,1,10,1,0,1,0,0.975842948931482,0.256375775707733,0
2,1,10,1,0,1,1,0.982666181580942,0.190886663911509,0
2,1,10,1,0,1,2,0.987824876995174,0.130523097159799,0
2,1,10,1,1,0,0,0.977367757625629,0.276676280397539,1
2,1,10,1,1,0,1,0.983661762985194,0.190369185771656,1
2,1,10,1,1,0,2,0.988074260456407,0.12430949663032,0
2,1,10,1,1,1,0,0.966021298783459,0.439918328701369,0
2,1,10,1,1,1,1,0.976485087026288,0.335067405092668,0
2,1,10,1,1,1,2,0.984553323238174,0.263046729467003,0
3,0,-10,0,0,0,0,0.0104004914568738,0.0754345678577667,21
3,0,-10,0,0,0,1,0.0085496328369725,0.0432690012259517,14
3,0,-10,0,0,0,2,0.00749003493446418,0.0210269996958312,13
3,0,-10,0,0,1,0,0.0160682951189861,0.158123789315402,0
3,0,-10,0,0,1,1,0.0122069086968298,0.107404792666382,1
3,0,-10,0,0,1,2,0.00876269361632032,0.0680394728409546,4
3,0,-10,0,1,0,0,0.0150212706617731,0.153495333954755,3
3,0,-10,0,1,0,1,0.0111310903449204,0.0991389473426926,4
3,0,-10,0,1,0,2,0.00864320547611425,0.0641077855971475,1
3,0,-10,0,1,1,0,0.0234740670310267,0.267578012064291,0
3,0,-10,0,1,1,1,0.016557389631277,0.195799804337045,0
3,0,-10,0,1,1,2,0.0107661660944134,0.145833912542851,0
3,0,-10,1,0,0,0,0.0140016919634211,0.155573928882985,3
3,0,-10,1,0,0,1,0.0105668017273227,0.0976542834212911,3
3,0,-10,1,0,0,2,0.00831909761083122,0.0525328618785095,4
3,0,-10,1,0,1,0,0.0221348239086124,0.258168200388955,0
3,0,-10,1,0,1,1,0.0153096893946039,0.187968227820323,2
3,0,-10,1,0,1,2,0.010285209194515,0.125247090428875,0
3,0,-1,0,1,0,0,0.506981706211985,1.64813772258435,74
3,0,-1,0,1,0,1,0.456344167588103,1.53785773348792,130
3,0,-1,0,1,0,2,0.414276160857939,1.44670943699059,176
3,0,-1,0,1,1,0,0.602590647710581,1.98550556856088,10
3,0,-1,0,1,1,1,0.536718121672776,2.35236896804182,31
3,0,-1,0,1,1,2,0.444457083238237,2.54385078467784,28
3,0,-1,1,0,0,0,0.479384122880243,1.88004404015209,358
3,0,-1,1,0,0,1,0.437729426278797,1.5021501355708,445
3,0,-1,1,0,0,2,0.402174687229129,1.06486416946255,451
3,0,-1,1,0,1,0,0.581476099961401,1.98809502364815,29
3,0,-1,1,0,1,1,0.513839843353059,2.39561690075453,47
3,0,-1,1,0,1,2,0.435573142885697,2.18644567971205,86
3,0,-1,1,1,0,0,0.546788547187781,2.49099477693631,88
3,0,-1,1,1,0,1,0.483095770600103,2.34544973933491,129
3,0,-1,1,1,0,2,0.428622824327939,2.01092635627145,178
3,0,-1,1,1,1,0,0.636153672522796,2.66927317557267,18
